"","category","current","height","name","city","state","latitude","longitude","abandoned","is.completed","completed.year","air.traffic.control.tower","belltower","bridge","casino","commercial","education","exhibition","floors.above","government","hospital","hotel","industrial","library","museum","observation","office","other","rank","religious","residential","retail","serviced.apartments","telecommunications"
"297","Atlanta","completed",175.8699951,"The Atlantic","Atlanta","Georgia",33.79085922,-84.39758301,FALSE,TRUE,2009,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,395,FALSE,TRUE,FALSE,FALSE,FALSE
"57","Boston","completed",240.7899933,"200 Clarendon","Boston","Massachusetts",42.34931946,-71.07510376,FALSE,TRUE,1976,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,100,FALSE,FALSE,FALSE,FALSE,FALSE
"79","Boston","completed",228.6000061,"Prudential Tower","Boston","Massachusetts",42.347229,-71.08264923,FALSE,TRUE,1964,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,129,FALSE,FALSE,FALSE,FALSE,FALSE
"246","Boston","completed",183.1900024,"BNY Mellon Center at One Boston Place","Boston","Massachusetts",42.35855865,-71.05834961,FALSE,TRUE,1970,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,339,FALSE,FALSE,FALSE,FALSE,FALSE
"253","Boston","completed",182.8800049,"One International Place","Boston","Massachusetts",42.35570908,-71.05200958,FALSE,TRUE,1987,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,346,FALSE,FALSE,FALSE,FALSE,FALSE
"267","Boston","completed",179.8300018,"One Financial Center","Boston","Massachusetts",42.35224152,-71.05623627,FALSE,TRUE,1984,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,364,FALSE,FALSE,FALSE,FALSE,FALSE
"328","Boston","completed",172,"111 Huntington Avenue","Boston","Massachusetts",42.34648132,-71.08162689,FALSE,TRUE,2002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,432,FALSE,FALSE,FALSE,FALSE,FALSE
"406","Boston","completed",164,"Two International Place","Boston","Massachusetts",42.3563385,-71.05174255,FALSE,TRUE,1993,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,524,FALSE,FALSE,FALSE,FALSE,FALSE
"461","Boston","completed",158.5,"One Federal Street","Boston","Massachusetts",42.35630035,-71.0568924,FALSE,TRUE,1976,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,591,FALSE,FALSE,FALSE,FALSE,FALSE
"513","Boston","completed",154.5,"One Beacon Street","Boston","Massachusetts",42.35847855,-71.06082153,FALSE,TRUE,1972,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,645,FALSE,FALSE,FALSE,FALSE,FALSE
"524","Boston","completed",153.3200073,"State Street Financial Center","Boston","Massachusetts",42.35274887,-71.05838776,FALSE,TRUE,2003,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,661,FALSE,FALSE,FALSE,FALSE,FALSE
"21","Chicago","completed",442.1400146,"Willis Tower","Chicago","Illinois",41.8788681,-87.63594818,FALSE,TRUE,1974,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,108,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,8,FALSE,FALSE,FALSE,FALSE,FALSE
"41","Chicago","completed",423.2200012,"Trump International Hotel & Tower","Chicago","Illinois",41.88887024,-87.6264267,FALSE,TRUE,2009,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,98,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,FALSE,TRUE,FALSE,FALSE,FALSE
"81","Chicago","completed",346.2600098,"Aon Center","Chicago","Illinois",41.88515854,-87.62145233,FALSE,TRUE,1973,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,23,FALSE,FALSE,FALSE,FALSE,FALSE
"91","Chicago","completed",343.6900024,"John Hancock Center","Chicago","Illinois",41.8987999,-87.62306213,FALSE,TRUE,1969,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,100,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,24,FALSE,TRUE,FALSE,FALSE,FALSE
"15","Chicago","completed",306.9400024,"The Franklin - North Tower","Chicago","Illinois",41.88034821,-87.63475037,FALSE,TRUE,1989,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,60,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,40,FALSE,FALSE,FALSE,FALSE,FALSE
"18","Chicago","completed",303.2799988,"Two Prudential Plaza","Chicago","Illinois",41.88536835,-87.62258148,FALSE,TRUE,1990,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,45,FALSE,FALSE,FALSE,FALSE,FALSE
"22","Chicago","completed",292.9200134,"311 South Wacker Drive","Chicago","Illinois",41.87739182,-87.63555908,FALSE,TRUE,1990,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,49,FALSE,FALSE,FALSE,FALSE,FALSE
"34","Chicago","completed",265,"900 North Michigan Avenue","Chicago","Illinois",41.8996582,-87.62471008,FALSE,TRUE,1989,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,66,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,68,FALSE,TRUE,TRUE,FALSE,FALSE
"37","Chicago","completed",261.8800049,"Water Tower Place","Chicago","Illinois",41.89796829,-87.62284088,FALSE,TRUE,1976,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,74,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,72,FALSE,TRUE,TRUE,FALSE,FALSE
"38","Chicago","completed",261.75,"Aqua","Chicago","Illinois",41.88647842,-87.61991882,FALSE,TRUE,2009,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,86,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,73,FALSE,TRUE,FALSE,FALSE,FALSE
"28","Dallas","completed",280.7200012,"Bank of America Plaza","Dallas","Texas",32.78004074,-96.80393982,FALSE,TRUE,1985,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,57,FALSE,FALSE,FALSE,FALSE,FALSE
"31","Dallas","completed",270.0599976,"Renaissance Tower","Dallas","Texas",32.78126144,-96.80191803,FALSE,TRUE,1986,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,64,FALSE,FALSE,FALSE,FALSE,FALSE
"59","Dallas","completed",239.8800049,"Comerica Bank Tower","Dallas","Texas",32.78163147,-96.79631805,FALSE,TRUE,1987,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,60,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,102,FALSE,FALSE,FALSE,FALSE,FALSE
"110","Dallas","completed",219.4600067,"Fountain Place","Dallas","Texas",32.78479004,-96.80255127,FALSE,TRUE,1986,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,163,FALSE,FALSE,FALSE,FALSE,FALSE
"206","Dallas","completed",191.4199982,"Elm Place","Dallas","Texas",32.78144836,-96.80075836,FALSE,TRUE,1965,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,291,FALSE,FALSE,FALSE,FALSE,FALSE
"243","Dallas","completed",183.5,"Gables Republic Tower","Dallas","Texas",32.78329849,-96.7978363,FALSE,TRUE,1954,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,332,FALSE,FALSE,FALSE,FALSE,FALSE
"258","Dallas","completed",182.2700043,"Republic Center Tower II","Dallas","Texas",32.78339005,-96.79723358,FALSE,TRUE,1964,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,352,FALSE,FALSE,FALSE,FALSE,FALSE
"290","Dallas","completed",176.7899933,"One AT&T Plaza","Dallas","Texas",32.77957916,-96.79872894,FALSE,TRUE,1984,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,388,FALSE,FALSE,FALSE,FALSE,FALSE
"293","Dallas","completed",176.4799957,"Ross Tower","Dallas","Texas",32.7844696,-96.80023956,FALSE,TRUE,1984,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,390,FALSE,FALSE,FALSE,FALSE,FALSE
"338","Dallas","completed",170.6900024,"Reunion Tower","Dallas","Texas",32.77536011,-96.80896759,FALSE,TRUE,1978,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,444,FALSE,FALSE,FALSE,FALSE,FALSE
"101","Detroit","completed",221.4900055,"Detroit Marriott at the Renaissance Center","Detroit","Michigan",42.32899094,-83.03968811,FALSE,TRUE,1977,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,70,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,154,FALSE,FALSE,FALSE,FALSE,FALSE
"321","Detroit","completed",173.2599945,"Penobscot Building","Detroit","Michigan",42.33026886,-83.04750061,FALSE,TRUE,1928,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,423,FALSE,FALSE,FALSE,FALSE,FALSE
"508","Detroit","completed",155,"Renaissance Center 100 Tower","Detroit","Michigan",42.32907867,-83.04032135,FALSE,TRUE,1976,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,639,FALSE,FALSE,FALSE,FALSE,FALSE
"509","Detroit","completed",155,"Renaissance Center 200 Tower","Detroit","Michigan",42.32955933,-83.03929138,FALSE,TRUE,1976,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,639,FALSE,FALSE,FALSE,FALSE,FALSE
"510","Detroit","completed",155,"Renaissance Center 300 Tower","Detroit","Michigan",42.32878876,-83.03871155,FALSE,TRUE,1976,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,639,FALSE,FALSE,FALSE,FALSE,FALSE
"511","Detroit","completed",155,"Renaissance Center 400 Tower","Detroit","Michigan",42.32836151,-83.03974915,FALSE,TRUE,1976,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,639,FALSE,FALSE,FALSE,FALSE,FALSE
"565","Detroit","completed",151.0299988,"Guardian Building","Detroit","Michigan",42.32978821,-83.04615784,FALSE,TRUE,1929,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,700,FALSE,FALSE,FALSE,FALSE,FALSE
"655","Detroit","completed",144.7799988,"Book Tower","Detroit","Michigan",42.33348846,-83.0515976,TRUE,TRUE,1926,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,805,FALSE,FALSE,FALSE,FALSE,FALSE
"800","Detroit","completed",135.4700012,"Fisher Building","Detroit","Michigan",42.36931992,-83.07704163,FALSE,TRUE,1928,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,961,FALSE,FALSE,FALSE,FALSE,FALSE
"837","Detroit","completed",133.1999969,"Cadillac Tower","Detroit","Michigan",42.33190918,-83.04482269,FALSE,TRUE,1927,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1007,FALSE,FALSE,FALSE,FALSE,FALSE
"17","Houston","completed",305.4100037,"JPMorgan Chase Tower","Houston","Texas",29.76041985,-95.36390686,FALSE,TRUE,1982,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,42,FALSE,FALSE,FALSE,FALSE,FALSE
"19","Houston","completed",302.3699951,"Wells Fargo Plaza","Houston","Texas",29.75844955,-95.36826324,FALSE,TRUE,1983,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,46,FALSE,FALSE,FALSE,FALSE,FALSE
"30","Houston","completed",274.6300049,"Williams Tower","Houston","Texas",29.73719025,-95.46121216,FALSE,TRUE,1982,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,61,FALSE,FALSE,FALSE,FALSE,FALSE
"63","Houston","completed",237.75,"Bank of America Center","Houston","Texas",29.76074982,-95.36659241,FALSE,TRUE,1983,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,107,FALSE,FALSE,FALSE,FALSE,FALSE
"72","Houston","completed",232.2599945,"Heritage Plaza","Houston","Texas",29.75880051,-95.37078094,FALSE,TRUE,1987,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,53,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,117,FALSE,FALSE,FALSE,FALSE,FALSE
"75","Houston","completed",230.3999939,"Enterprise Plaza","Houston","Texas",29.75781059,-95.36897278,FALSE,TRUE,1980,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,121,FALSE,FALSE,FALSE,FALSE,FALSE
"93","Houston","completed",225.8600006,"Centerpoint Energy Plaza","Houston","Texas",29.75712967,-95.36795044,FALSE,TRUE,1996,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,53,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,142,FALSE,FALSE,FALSE,FALSE,FALSE
"99","Houston","completed",223.1199951,"1600 Smith Street","Houston","Texas",29.75440025,-95.37270355,FALSE,TRUE,1984,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,150,FALSE,FALSE,FALSE,FALSE,FALSE
"104","Houston","completed",221,"Fulbright Tower","Houston","Texas",29.75551033,-95.36154938,FALSE,TRUE,1982,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,159,FALSE,FALSE,FALSE,FALSE,FALSE
"115","Houston","completed",217.6300049,"One Shell Plaza","Houston","Texas",29.75914955,-95.36763763,FALSE,TRUE,1970,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,170,FALSE,FALSE,FALSE,FALSE,FALSE
"62","Jersey City","completed",238.0500031,"30 Hudson Street","Jersey City","New Jersey",40.7129097,-74.03375244,FALSE,TRUE,2004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,105,FALSE,FALSE,FALSE,FALSE,FALSE
"424","Jersey City","completed",162.1600037,"Trump Plaza Residences","Jersey City","New Jersey",40.71974182,-74.03656769,FALSE,TRUE,2008,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,542,FALSE,TRUE,FALSE,FALSE,FALSE
"433","Jersey City","completed",161.3899994,"70 Columbus","Jersey City","New Jersey",40.71905899,-74.04058075,FALSE,TRUE,2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,551,FALSE,TRUE,FALSE,FALSE,FALSE
"505","Jersey City","completed",155.1399994,"Hudson Greene East Tower","Jersey City","New Jersey",40.71456909,-74.03504944,FALSE,TRUE,2010,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,636,FALSE,TRUE,FALSE,FALSE,FALSE
"533","Jersey City","completed",152.8200073,"Hudson Greene West Tower","Jersey City","New Jersey",40.7146492,-74.03578186,FALSE,TRUE,2010,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,666,FALSE,TRUE,FALSE,FALSE,FALSE
"712","Jersey City","completed",140.5,"480 Washington Boulevard","Jersey City","New Jersey",40.72486877,-74.03484344,FALSE,TRUE,2004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,867,FALSE,FALSE,FALSE,FALSE,FALSE
"736","Jersey City","completed",138.6999969,"The Monaco North Tower","Jersey City","New Jersey",40.72422028,-74.03658295,FALSE,TRUE,2011,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,890,FALSE,TRUE,FALSE,FALSE,FALSE
"737","Jersey City","completed",138.6999969,"The Monaco South Tower","Jersey City","New Jersey",40.72404861,-74.03694153,FALSE,TRUE,2011,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,890,FALSE,TRUE,FALSE,FALSE,FALSE
"750","Jersey City","completed",138.101832,"The Morgan at Provost Square","Jersey City","New Jersey",40.72029877,-74.04075623,FALSE,TRUE,2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2365,FALSE,TRUE,FALSE,FALSE,FALSE
"842","Jersey City","completed",132.8999939,"Crystal Point","Jersey City","New Jersey",40.72156143,-74.0319519,FALSE,TRUE,2009,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1012,FALSE,TRUE,FALSE,FALSE,FALSE
