#,Building Name,City,Country,Height (m),Completed,Use
142,Shenzhen AVIC Plaza,Shenzhen ,China,254,2012,office
143,Wongtee Plaza,Shenzhen ,China,253.6,2016,office
144,Chengjieyi Center,Huizhou ,China,253,2015,residential / office
145,R&F International Business Center Phase 2,Guangzhou ,China,252.6,2016,office
146,Highcliff,Hong Kong ,China,252.3,2003,residential
147,Golden Eagle Plaza,Suzhou ,China,252,2016,multiple
148,Bank of Shanghai Headquarters Building,Shanghai ,China,252,2005,office
149,The Harbourside,Hong Kong ,China,251.2,2003,residential
150,Jiali Plaza,Wuhan ,China,251,1997,office
151,5 Taian Dao,Tianjin ,China,250.8,2015,office
152,Hunter Douglas International Plaza,Guiyang ,China,250.3,2015,hotel / office
153,Excellence Century Plaza Tower 2,Shenzhen ,China,250,2010,hotel / office
154,HKRI Centre One,Shanghai ,China,250,2016,office
155,Fusheng Qianlong Plaza,Fuzhou ,China,250,2016,office
156,Center 66 Office 1,Wuxi ,China,250,2014,office / retail
157,Beijing Yintai Centre - Park Tower,Beijing ,China,250,2008,residential / hotel
158,Xiamen Shimao Straits Tower A,Xiamen ,China,249.9,2015,residential / hotel / office
159,Shanghai IFC South Tower,Shanghai ,China,249.9,2009,hotel / office
160,Haihang International Plaza Tower A,Haikou ,China,249.8,2014,hotel / office
161,Xinjiekou Department Store Phase 2,Nanjing ,China,249,2009,office
162,China Merchants Bank Tower,Shenzhen ,China,249,2001,office
162,Yunfu Tower,Wuxi ,China,249,2015,office
164,Yunda Central Plaza - St. Regis Hotel,Changsha ,China,248.8,2016,hotel
165,Poly Business Center Office Tower,Foshan ,China,248,2016,office
165,RunHua International Building,Wuxi ,China,248,2009,residential / hotel / office
167,Hongdou International Plaza,Wuxi ,China,248,2009,residential / office
168,Hangzhou Telecom Mansion,Hangzhou ,China,248,2003,office
169,Jia Fa Centre,Chongqing ,China,247.2,2015,hotel / office / retail
170,Chengdu International Finance Square Tower 1,Chengdu ,China,247,2014,office
170,Chengdu International Finance Square Tower 2,Chengdu ,China,247,2014,office
172,Ningbo Bank of China Headquarters,Ningbo ,China,246.2,2016,office
173,Shangbang Leasing Tower,Tianjin ,China,246,2016,office
174,Kaiyuan Finance Center,Shijiazhuang ,China,246,2012,residential / hotel / office
175,Shenzhen Stock Exchange,Shenzhen ,China,245.8,2013,office
176,Forebase Financial Plaza,Chongqing ,China,245.3,2014,hotel / office
177,Longemont Asia Pacific Center Tower A,Shenyang ,China,245.2,2013,office
177,Longemont Asia Pacific Center Tower B,Shenyang ,China,245.2,2013,office
179,Anhui New Broadcasting & TV Center,Hefei ,China,245,2013,office
180,Global Harbor North Tower,Shanghai ,China,245,2014,serviced apartments / office / retail
180,Global Harbor South Tower,Shanghai ,China,245,2014,office / residential / hotel / retail
182,Yixing Dongjiu Tower,Yixing ,China,243.8,2012,hotel / office
183,R&F Center,Guangzhou ,China,243,2007,office
184,Observation Tower at Olympic Park,Beijing ,China,243,2014,observation
185,Dalian Futures Square 1,Dalian ,China,242.8,2010,office
185,Dalian Futures Square 2,Dalian ,China,242.8,2010,office
187,Neo China Top City A1,Chongqing ,China,242.4,2009,hotel / office / retail
188,Asia Pacific Tower & Jinling Hotel,Nanjing ,China,242,2014,hotel / office
189,Dalian World Trade Center,Dalian ,China,242,2000,office
190,Maxdo Centre,Shanghai ,China,241.3,2002,office
191,Western International Finance Center Conrad Hotel,Chengdu ,China,241,2015,hotel
192,Bank of China Mansion,Qingdao ,China,241,1999,office
193,Shenzhen Broadcasting Center I,Shenzhen ,China,240.7,2001,office
194,Lee Garden One,Hong Kong ,China,240.4,1998,office
195,Jin Wan Plaza 2,Tianjin ,China,240,2015,office
196,Panglin Plaza,Shenzhen ,China,240,2000,hotel / office
197,Suzhou RunHua Global Building B,Suzhou ,China,240,2010,residential
198,Greatwall Tower 1,Wuhan ,China,240,2015,office
199,Tianjin Junlin Tianxia Building,Tianjin ,China,239,2010,residential / hotel
200,International Finance Center,Nanchang ,China,239,2011,office
201,Beijing Television Center,Beijing ,China,239,2006,office
202,Anhui International Trade Center Tower 1,Hefei ,China,238.8,2013,office
203,Xinhua International Building,Chongqing ,China,238.6,2011,office / retail
204,Tsingdao Center Tower A,Qingdao ,China,238.3,2014,office
204,Tsingdao Center Tower B,Qingdao ,China,238.3,2014,serviced apartments / hotel
206,Qingdao Agora,Qingdao ,China,238.3,2011,office
207,Cloud Nine,Shanghai ,China,238,2006,hotel / office
208,Xi`an Center,Xi’an ,China,238,2016,office
209,New World Center,Shenzhen ,China,238,2006,office
210,Tianjin Xinda Plaza,Tianjin ,China,238,2004,residential / office
211,Foshan TV Tower,Foshan ,China,238,1995,telecommunications
212,Excellence Century Center Tower 1,Qingdao ,China,237.3,2016,office
213,ASE Center R3,Chongqing ,China,236.8,2016,residential / retail
214,SunnyWorld Center Main Tower,Nanchang ,China,236,2014,office
215,Future International,Chongqing ,China,236,2007,office / retail
216,Louvre International Furniture Headquarters Building,Foshan ,China,236,2014,office
217,Sorrento 2,Hong Kong ,China,235.7,2003,residential
218,KONE Test Tower,Kunshan ,China,235.6,2015,industrial
219,EPH Headquarters,Zhengzhou ,China,235.3,2012,office
220,Huamin Emperor Hotel,Shanghai ,China,235.1,2013,hotel / office
221,Poly Nanhu Plaza 1,Changsha ,China,235,2015,office
221,Tianjin International Trade Tower 1,Tianjin ,China,235,2014,serviced apartments / retail
223,Changsha Xinhe Delta Office,Changsha ,China,235,2014,office
224,CCTV Headquarters,Beijing ,China,234,2012,office
225,Harbourfront Landmark,Hong Kong ,China,232.6,2003,residential
226,International Ocean Shipping Building,Shanghai ,China,232.4,2000,hotel / office
227,Suzhou Xindi Center,Suzhou ,China,232,2005,residential / hotel / office
228,Xindi Center,Nanjing ,China,232,2009,office
229,China Merchants Financial Center,Nanjing ,China,232,2007,office
230,CASC International Center North Tower,Shenzhen ,China,232,2015,office
231,1818 Center,Wuhan ,China,232,2015,residential / office / retail
232,Qingdao TV Tower,Qingdao ,China,232,1994,telecommunications / observation
233,Ligao International,Nanchang ,China,231.5,2014,office
234,Kingtown International Center,Nanjing ,China,231.2,2014,hotel / office
235,The Arch,Hong Kong ,China,231,2005,residential
236,Sankee Plaza,Nanning ,China,231,2014,office
237,UpperHills North Tower 1A,Shenzhen ,China,230.4,2015,residential
237,UpperHills North Tower 2A,Shenzhen ,China,230.4,2015,residential
239,BOCOM Financial Towers,Shanghai ,China,230.4,1999,office
240,Huanghe River Center Building,Dongguan ,China,230,2009,office
241,Fortune Plaza,Urumqi ,China,230,2008,residential / office
242,Regal Palace Hotel,Dongguan ,China,230,2007,hotel
243,New Victory Hotel Tower,Lanzhou ,China,230,2015,hotel
244,International Fortune Plaza Tower A,Suzhou ,China,230,2016,office
245,Wanxiang City Tower 1,Hangzhou ,China,229.9,2015,hotel / office / retail
246,North Yoker Plaza Tower A,Shenyang ,China,228.9,2016,office
247,Plaza 66 Tower 2,Shanghai ,China,228.2,2006,office
248,Bofu International Plaza Office Tower,Changsha ,China,228,2014,office
249,Kaina Business Plaza,Changzhou ,China,228,2010,hotel / office
250,Kempinski Hotel,Guiyang ,China,228,2011,hotel
251,COSCO Tower,Hong Kong ,China,228,1997,office
251,Dalian Dingsen Center North Tower,Dalian ,China,228,2016,residential / hotel
251,Dalian Dingsen Center South Tower,Dalian ,China,228,2016,office
254,Shaanxi Information Mansion,Xi’an ,China,228,2006,office
255,Shanglong Building,Shenzhen ,China,228,2004,residential / hotel / office
256,Taiping Finance Tower,Shenzhen ,China,228,2014,office
257,CITIC Plaza,Shanghai ,China,228,2010,office
257,Kingold Century,Guangzhou ,China,228,2016,serviced apartments / office
259,New York New York,Chongqing ,China,228,2004,office / retail
260,Changchenghui Tower 1,Wuhan ,China,228,2016,office / retail
261,Ningbo International Trade Center,Ningbo ,China,228,2010,office / retail
262,The Belcher's Tower 5,Hong Kong ,China,226.7,2001,residential
262,The Belcher's Tower 6,Hong Kong ,China,226.7,2001,residential
264,Bank of China Tower,Shanghai ,China,226.1,2000,office
265,Pullman Shanghai Skyway Hotel,Shanghai ,China,226,2007,residential / hotel
266,Wyndham Centre,Chongqing ,China,226,2016,hotel / office / retail
267,Agricultural Science and Technology International Center,Harbin ,China,226,2014,office
268,Yunzhong Tower 1,Nanchang ,China,225,2016,office
268,Yunzhong Tower 2,Nanchang ,China,225,2016,office
270,China Resources Building,Chongqing ,China,223.7,2016,office / retail
271,Victory Plaza Tower A,Guangzhou ,China,223,2007,office
272,Farglory International Plaza,Qingdao ,China,223,2011,hotel / residential / office
273,World Finance Center Tower A,Shenzhen ,China,222.4,2003,office
274,Hopewell Centre,Hong Kong ,China,222,1981,office
275,Raffles Square Tower,Shanghai ,China,222,2003,office
276,CSSD Plaza,Suzhou ,China,222,2015,office
277,Kerry Center,Nanchang ,China,222,2016,office
278,Liyuan Skyline City,Nanning ,China,221.9,2013,office
279,Tortoise Mountain TV Tower,Wuhan ,China,221.2,1986,telecommunications / observation
280,The Belcher's Tower 1,Hong Kong ,China,220.6,2000,residential
280,The Belcher's Tower 2,Hong Kong ,China,220.6,2000,residential
282,Kempinski Hotel Chongqing,Chongqing ,China,220.5,2012,residential / hotel
283,Park Lane Manor 5,Nanning ,China,220,2016,residential
283,Park Lane Manor 6,Nanning ,China,220,2016,residential
285,Zhongshan International Finance Center Tower 1,Zhongshan ,China,220,2012,hotel / office
285,Zhongshan International Finance Center Tower 2,Zhongshan ,China,220,2012,office
287,Wanda East Port Tower 1,Dalian ,China,220,2012,hotel / office
288,Fuzhou IFC,Fuzhou ,China,220,2015,office
288,Zhongrong Jasper Tower,Shanghai ,China,220,2008,office
290,Shuiwan 1979 Tower,Shenzhen ,China,220,2016,residential / office
291,Golden Eagle International Shopping Center,Nanjing ,China,220,2016,office / hotel / retail
292,Tregunter Tower III,Hong Kong ,China,219.9,1993,residential
293,The Summit,Hong Kong ,China,219.8,2002,residential
294,Qingdao Parkson Plaza,Qingdao ,China,219.7,1998,residential / office
295,C&D International Tower,Xiamen ,China,219.4,2013,office
296,Kunming Iron and Steel Building,Kunming ,China,219.3,2014,hotel / office
297,Oriental Hope Intertek Plaza 1,Chengdu ,China,219,2016,office
297,Oriental Hope Intertek Plaza 2,Chengdu ,China,219,2016,office
297,Shenyang Royal Wan Xin International Mansion Tower A,Shenyang ,China,219,2009,hotel
300,Sino Life Insurance Building,Shenzhen ,China,219,2016,office
301,Ying Li International Plaza T1,Chongqing ,China,218.9,2015,office / retail
302,Grand Promenade Towers 2-3-5,Hong Kong ,China,218.9,2005,residential
303,Guangdong Development Bank Building,Wuhan ,China,218.5,2014,office
304,China Resources Center 1,Hefei ,China,218.2,2016,office
305,Sorrento 3,Hong Kong ,China,218,2003,residential
306,Hung Cheung Plaza,Shenzhen ,China,218,2004,residential / office
307,Shangmao Century Plaza,Nanjing ,China,218,2002,office
308,Furama Tower,Dalian ,China,218,2015,residential
309,Fortune Tower,Shenzhen ,China,218,2008,office
310,Onelink Center,Guangzhou ,China,218,2010,residential / hotel
310,Shanghai Longemont Hotel,Shanghai ,China,218,2005,hotel / office
312,Times Square Excellence,Shenzhen ,China,218,2006,office
313,Nanhu Mingdu Plaza,Nanning ,China,218,2013,office
314,New Century Grand Hotel,Hangzhou ,China,218,2005,hotel
315,Causeway Bay International Plaza,Nanchang ,China,218,2016,office
315,Chongqing Rural Commercial Bank Financial Building,Chongqing ,China,218,2016,office
315,Sheraton International Business Center 1,Chongqing ,China,218,2010,hotel
315,Sheraton International Business Center 2,Chongqing ,China,218,2010,hotel
315,Zhejiang Television Center,Hangzhou ,China,218,2016,office
320,Jilin Broadcast & Television Tower,Changchun ,China,218,1996,telecommunications / observation
320,Taizhou Radio & TV Tower,Taizhou ,China,218,1994,telecommunications / observation
322,L'Arc New World Hotel,Macau ,China,217,2009,residential / hotel / casino
323,The Exchange–SOHO,Shanghai ,China,217,2005,office
324,Changchun HNA International Plaza,Changchun ,China,217,2015,
325,Qingxiu Wanda Mansion 1,Nanning ,China,216.4,2015,residential
325,Qingxiu Wanda Mansion 4,Nanning ,China,216.4,2015,residential
327,AVIC Center Office Tower,Shenzhen ,China,216.4,2013,office
328,Jinzou Plaza,Dalian ,China,216,2000,residential / office
329,Zhejiang International Building,Wuhan ,China,216,2014,office
330,International Chamber of Commerce Tower,Shenzhen ,China,216,2005,office
331,Riviera TwinStar Square 1,Shanghai ,China,215.8,2011,office
331,Riviera TwinStar Square 2,Shanghai ,China,215.8,2011,office
333,LOHAS Park Le Prestige Tower B,Hong Kong ,China,215,2011,residential
334,Tianjin Kerry Center R1,Tianjin ,China,215,2014,residential
334,Tianjin Kerry Center R2,Tianjin ,China,215,2014,residential
334,Tianjin Kerry Center R3,Tianjin ,China,215,2014,residential
337,Jinshi International Plaza 1,Qingdao ,China,215,2016,hotel
338,World Trade Center 1,Yiwu ,China,215,2016,hotel / office
339,The Suzhou Modern Media Plaza 1,Suzhou ,China,214.8,2015,office
340,Four Seasons Tower,Tianjin ,China,214.6,2016,residential / hotel
341,Sun Hung Kai Centre,Hong Kong ,China,214.5,1991,office
342,The Belcher's Tower 3,Hong Kong ,China,214.4,2000,residential
342,The Belcher's Tower 8,Hong Kong ,China,214.4,2001,residential
344,Golden Eagle International Plaza,Nanjing ,China,214,1998,hotel / office
345,Dalian Tianan International Tower,Dalian ,China,214,2000,office
346,Shangri-La Hotel,Hong Kong ,China,213.1,1991,hotel
347,Victoria Towers I,Hong Kong ,China,213,2003,residential
347,Victoria Towers II,Hong Kong ,China,213,2003,residential
347,Victoria Towers III,Hong Kong ,China,213,2003,residential
350,Shining Heights,Hong Kong ,China,213,2009,residential
351,Shijiazhuang No. 2 Telecommunications Hub,Shijiazhuang ,China,213,2001,office
352,Lerthai Center 2,Shijiazhuang ,China,212.8,2013,office
353,Xiamen Financial Centre,Xiamen ,China,212.7,2013,office
354,Sorrento 5,Hong Kong ,China,212.1,2003,residential
355,Indi Home,Hong Kong ,China,212,2005,residential
356,New World Trade Tower,Wuhan ,China,212,2003,office
356,Tianhebei Tower,Guangzhou ,China,212,2015,office
358,World Finance Tower,Shanghai ,China,212,1997,office
359,Xinjinqiao Mansion,Shanghai ,China,212,1996,office
360,TaiKoo Hui Tower 1,Guangzhou ,China,212,2011,office
361,Poly Cultural Plaza,Wuhan ,China,211.8,2012,office
362,Jahoo Hong Kong City,Chongqing ,China,211,2008,hotel / office
363,Xindi Center Office Tower 1,Hefei ,China,211,2014,office
364,Pudong International Information Port,Shanghai ,China,211,2001,office
365,China Merchants Tower,Shenzhen ,China,211,2013,office
366,Jushang Plaza,Liuzhou ,China,210.7,2014,office
367,No. 1 Shanghai,Shanghai ,China,210.5,2016,office
368,LOHAS Park The Capitol Oslo,Hong Kong ,China,210,2009,residential
368,LOHAS Park The Capitol Whistler,Hong Kong ,China,210,2009,residential
370,Peace Hotel Tower B,Nanchang ,China,210,2013,hotel
371,Fortune Center Residential Tower 1,Liuzhou ,China,210,2016,residential
372,Asia-Pacific Center,Guiyang ,China,210,2016,office
372,Harmonious Century Tower A,Kunming ,China,210,2016,office
372,Harmonious Century Tower B,Kunming ,China,210,2016,office
375,Zhongshang Wanhao International Condominium,Nanjing ,China,210,2009,residential
376,Hongji Commercial Centre 1,Tianjin ,China,210,1999,office
376,Metropolitan Tower A,Suzhou ,China,210,2009,residential
376,Metropolitan Tower B,Suzhou ,China,210,2009,residential
376,Moi Tiandi,Taiyuan ,China,210,2015,office
380,Ahcof City Plaza,Hefei ,China,210,2016,office / retail
381,21st Century Mansion,Shanghai ,China,210,2009,residential / hotel / office
381,Crowne Plaza Tower 1,Chongqing ,China,210,2014,hotel
381,Crowne Plaza Tower 2,Chongqing ,China,210,2014,hotel
384,New City International,Hefei ,China,210,2016,office
385,Excellence Houhai Financial Center,Shenzhen ,China,210,2015,office
385,Financial Street Nankai Center,Tianjin ,China,210,2015,office
385,Suning Ruicheng Phase 1 E06 #1,Nanjing ,China,210,2015,office
385,Suning Ruicheng Phase 1 E07 #2,Nanjing ,China,210,2015,office
389,CNOOC New Tower 1,Shenzhen ,China,210,2016,office
389,CNOOC New Tower 2,Shenzhen ,China,210,2016,office
391,One International Finance Centre,Hong Kong ,China,210,1999,office
392,Suning Ruicheng Phase 1 E08 #2,Nanjing ,China,210,2015,office
393,Wall Street Plaza,Nanchang ,China,209.4,2014,office
394,Grand Promenade Tower 1,Hong Kong ,China,209,2005,residential
394,Grand Promenade Tower 6,Hong Kong ,China,209,2005,residential
396,Huabang World Trade City Tower 1,Hefei ,China,209,2014,office
397,Moresky 360,Wuxi ,China,209,2005,hotel / office
398,China Co-op Group Tower,Dalian ,China,209,2016,office
399,Jiangsu TV Station Building,Nanjing ,China,209,2007,office
400,Metro Plaza Tower II,Hong Kong ,China,208.9,1992,office
401,Foshan International Plaza,Foshan ,China,208,2008,hotel / office
402,Tianlang Haifeng International Center A,Zhuhai ,China,208,2014,office
402,Tianlang Haifeng International Center B,Zhuhai ,China,208,2014,office
404,Wuhan Times Square Tower 1,Wuhan ,China,208,2007,multiple
405,Nanfang International Hotel,Shenzhen ,China,208,2009,hotel
406,First Tower,Shenzhen ,China,208,2001,office
407,Jing Guang Center,Beijing ,China,208,1990,residential / hotel / office
407,Vertical City,Guangzhou ,China,208,2010,hotel / residential / office
409,CCCC South Headquarters,Guangzhou ,China,208,2015,office
409,Jian Yin Tower A,Wuhan ,China,208,1997,office
411,HJ International Hotel,Dongguan ,China,208,2010,hotel
412,New Times Business Center,Wuhan ,China,208,2007,hotel / office
412,Wenbo Tower,Shenzhen ,China,208,2016,office
414,Hubin Plaza,Taiyuan ,China,208,2014,office
414,Radisson New World Hotel,Shanghai ,China,208,2003,hotel
416,Golden Bell Mansion,Shanghai ,China,208,1997,office
417,Changsha No. 2 Telecom Hinge Building,Changsha ,China,208,2003,office
418,King of Towers,Dalian ,China,208,2016,residential / SOHO / office
418,Summer Palace Tower A,Shenyang ,China,208,2015,office
420,Taiping Financial Tower,Shanghai ,China,208,2011,office
421,China Merchants Bank Mansion,Shanghai ,China,208,2013,office
422,J57 Mini Sky City,Changsha ,China,207.8,2015,abandoned
423,Zesheng Twin Tower A,Chongqing ,China,207.7,2011,residential / retail
