current,height,name,city,state,latitude,longitude,abandoned,is completed,completed.year,air traffic control tower,belltower,bridge,casino,commercial,education,exhibition,floors above,government,hospital,hotel,industrial,library,museum,observation,office,other,rank,religious,residential,retail,serviced apartments,telecommunications
completed,94.18000031,ICON,Philadelphia,Pennsylvania,39.94963837,-75.16848755,FALSE,TRUE,1929,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1908,FALSE,TRUE,FALSE,FALSE,FALSE
completed,94.27999878,Omni Hotel CNN Center Expansion,Atlanta,Georgia,33.75896072,-84.39489746,FALSE,TRUE,2003,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1903,FALSE,FALSE,FALSE,FALSE,FALSE
completed,94.30000305,3601 Market Street,Philadelphia,Pennsylvania,39.95671844,-75.19461823,FALSE,TRUE,2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1902,FALSE,TRUE,FALSE,FALSE,FALSE
completed,94.48999786,Tribune Tower,Oakland,California,37.80311966,-122.2708588,FALSE,TRUE,1923,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1901,FALSE,FALSE,FALSE,FALSE,FALSE
completed,94.48999786,1 Empire State Plaza,Albany,New York,42.65171814,-73.75962067,FALSE,TRUE,1973,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1897,FALSE,FALSE,FALSE,FALSE,FALSE
completed,94.48999786,2 Empire State Plaza,Albany,New York,42.65105057,-73.76026917,FALSE,TRUE,1973,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1897,FALSE,FALSE,FALSE,FALSE,FALSE
completed,94.48999786,3 Empire State Plaza,Albany,New York,42.65039063,-73.76097107,FALSE,TRUE,1973,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1897,FALSE,FALSE,FALSE,FALSE,FALSE
completed,94.48999786,4 Empire State Plaza,Albany,New York,42.64974976,-73.76161957,FALSE,TRUE,1974,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1897,FALSE,FALSE,FALSE,FALSE,FALSE
completed,94.5,Kalia Tower,Honolulu,Hawaii,21.28396988,-157.8360901,FALSE,TRUE,2001,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1895,FALSE,TRUE,FALSE,FALSE,FALSE
completed,94.5,West 57th Street by Hilton Club,New York City,New York,40.76435089,-73.97789001,FALSE,TRUE,2009,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1893,FALSE,FALSE,FALSE,FALSE,FALSE
completed,94.5,Skye Building,Charlotte,North Carolina,35.22261047,-80.84101105,FALSE,TRUE,2013,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1896,FALSE,TRUE,FALSE,FALSE,FALSE
completed,94.66999817,Michigan Avenue Tower II,Chicago,Illinois,41.86388016,-87.62447357,FALSE,TRUE,2009,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1891,FALSE,TRUE,FALSE,FALSE,FALSE
completed,94.68000031,Rand Tower,Minneapolis,Minnesota,44.97735977,-93.26966095,FALSE,TRUE,1929,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1890,FALSE,FALSE,FALSE,FALSE,FALSE
completed,94.79000092,theWit Hotel,Chicago,Illinois,41.88600159,-87.62760925,FALSE,TRUE,2009,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1888,FALSE,FALSE,FALSE,FALSE,FALSE
completed,94.79000092,Capital Center South Tower,Indianapolis,Indiana,39.77032089,-86.15936279,FALSE,TRUE,1987,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1889,FALSE,FALSE,FALSE,FALSE,FALSE
completed,94.79000092,4Marq,Minneapolis,Minnesota,44.97903824,-93.26895905,FALSE,TRUE,2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1887,FALSE,TRUE,FALSE,FALSE,FALSE
completed,95,Hilton Suites Chicago,Chicago,Illinois,41.89968872,-87.62200165,FALSE,TRUE,1990,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1886,FALSE,FALSE,FALSE,FALSE,FALSE
completed,95.09999847,550 St. Clair,Chicago,Illinois,41.89229965,-87.62293243,FALSE,TRUE,2008,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1884,FALSE,TRUE,FALSE,FALSE,FALSE
completed,95.09999847,777 South State,Chicago,Illinois,41.87216187,-87.62719727,FALSE,TRUE,1984,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1883,FALSE,TRUE,FALSE,FALSE,FALSE
completed,95.09999847,Roberts Tower at Mayfair Plaza,St. Louis,Missouri,38.62982941,-90.19223022,FALSE,TRUE,2010,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1885,FALSE,TRUE,FALSE,FALSE,FALSE
completed,95.40000153,State Tower Building,Syracuse,New York,43.05027,-76.150386,FALSE,TRUE,1928,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1880,FALSE,FALSE,FALSE,FALSE,FALSE
completed,95.40000153,AT&T Center,Milwaukee,Wisconsin,43.0393219,-87.90759277,FALSE,TRUE,1924,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1881,FALSE,FALSE,FALSE,FALSE,FALSE
completed,95.5,Park Plaza Apartments,St. Louis,Missouri,38.64487076,-90.26429749,FALSE,TRUE,1931,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1878,FALSE,TRUE,FALSE,FALSE,FALSE
completed,95.5,W Hoboken Hotel and Residential Condominiums,Hoboken,New Jersey,40.73923111,-74.02783203,FALSE,TRUE,2009,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1878,FALSE,TRUE,FALSE,FALSE,FALSE
completed,95.69999695,McCormick Building,Chicago,Illinois,41.87723923,-87.62477112,FALSE,TRUE,1912,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1877,FALSE,TRUE,FALSE,FALSE,FALSE
completed,95.69999695,505 LaGuardia Place,New York City,New York,40.72716141,-73.99894714,FALSE,TRUE,1966,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1876,FALSE,TRUE,FALSE,FALSE,FALSE
completed,95.72000122,Reynolds Building,Winston-Salem,North Carolina,36.09873962,-80.24389648,FALSE,TRUE,1929,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1875,FALSE,FALSE,FALSE,FALSE,FALSE
completed,95.76000214,Michigan Avenue Tower I,Chicago,Illinois,41.86595917,-87.62451935,FALSE,TRUE,2005,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1874,FALSE,TRUE,FALSE,FALSE,FALSE
completed,96,One Tequesta Point,Miami,Florida,25.76930046,-80.18460846,FALSE,TRUE,1995,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1869,FALSE,TRUE,FALSE,FALSE,FALSE
completed,96,8th and Main Tower,Boise,Idaho,43.61610031,-116.203537,FALSE,TRUE,2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1872,FALSE,FALSE,FALSE,FALSE,FALSE
completed,96,One M&T Plaza,Buffalo,New York,42.88351822,-78.87445831,FALSE,TRUE,1966,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1871,FALSE,FALSE,FALSE,FALSE,FALSE
completed,96.27999878,National City Center,Akron,Ohio,41.0815506,-81.51957703,FALSE,TRUE,1969,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1867,FALSE,FALSE,FALSE,FALSE,FALSE
completed,96.31999969,Prentice Women's Hospital,Chicago,Illinois,41.89625168,-87.6207428,FALSE,TRUE,2007,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1866,FALSE,FALSE,FALSE,FALSE,FALSE
completed,96.31999969,East Coast Tower II,New York City,New York,40.74586105,-73.95635986,FALSE,TRUE,2008,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1865,FALSE,TRUE,FALSE,FALSE,FALSE
completed,96.90000153,Bryant Building,Kansas City,Kansas,39.10091019,-94.58116913,FALSE,TRUE,1931,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1864,FALSE,FALSE,FALSE,FALSE,FALSE
completed,96.90000153,Seattle Tower,Seattle,Washington,47.60771942,-122.3355103,FALSE,TRUE,1929,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1863,FALSE,FALSE,FALSE,FALSE,FALSE
completed,97,The Riverside,Jersey City,New Jersey,40.72673035,-74.03160858,FALSE,TRUE,1998,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1861,FALSE,TRUE,FALSE,FALSE,FALSE
completed,97,United States Realty Building,New York City,New York,40.70901108,-74.01164246,FALSE,TRUE,1907,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1862,FALSE,FALSE,FALSE,FALSE,FALSE
