current,height,name,city,state,multi,main,latitude,longitude,abandoned,is.completed,completed.year,air.traffic.control.tower,belltower,bridge,casino,commercial,education,exhibition,floors.above,government,hospital,hotel,industrial,library,museum,observation,office,other,rank,religious,residential,retail,serviced.apartments,telecommunications
completed,265.1799927,Eight Spruce Street,New York City,New York,residential,residential,40.71086121,-74.00566864,FALSE,TRUE,2011,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,76,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,67,FALSE,TRUE,FALSE,FALSE,FALSE
completed,265,900 North Michigan Avenue,Chicago,Illinois,residential / office / hotel,residential,41.8996582,-87.62471008,FALSE,TRUE,1989,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,66,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,68,FALSE,TRUE,TRUE,FALSE,FALSE
completed,264.25,SunTrust Plaza,Atlanta,Georgia,office,office,33.76269913,-84.38646698,FALSE,TRUE,1992,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,60,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,70,FALSE,FALSE,FALSE,FALSE,FALSE
completed,262.4400024,Trump World Tower,New York City,New York,residential,residential,40.75252151,-73.96766663,FALSE,TRUE,2001,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,71,FALSE,TRUE,FALSE,FALSE,FALSE
completed,261.8800049,Water Tower Place,Chicago,Illinois,residential / hotel / retail,residential,41.89796829,-87.62284088,FALSE,TRUE,1976,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,74,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,72,FALSE,TRUE,TRUE,FALSE,FALSE
completed,261.75,Aqua,Chicago,Illinois,residential / hotel,residential,41.88647842,-87.61991882,FALSE,TRUE,2009,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,86,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,73,FALSE,TRUE,FALSE,FALSE,FALSE
completed,261.519989,Aon Center,Los Angeles,California,office,office,34.04922867,-118.2568665,FALSE,TRUE,1974,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,74,FALSE,FALSE,FALSE,FALSE,FALSE
completed,260,Transamerica Pyramid,San Francisco,California,office,office,37.79523849,-122.4027328,FALSE,TRUE,1972,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,75,FALSE,FALSE,FALSE,FALSE,FALSE
completed,259.0799866,Chase Tower,Chicago,Illinois,office,office,41.88161087,-87.63024139,FALSE,TRUE,1969,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,60,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,77,FALSE,FALSE,FALSE,FALSE,FALSE
completed,259.0799866,Comcast Building,New York City,New York,office,office,40.75899124,-73.97939301,FALSE,TRUE,1933,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,70,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,76,FALSE,FALSE,FALSE,FALSE,FALSE
