Building Name,City,Height (m),Completed,Material,Use
200 North Dearborn Apartments,Chicago  ,141.1,1989,concrete,residential
"Dillon, Read & Company Building",New York City  ,141.4,1982,,office
Franklin County Courthouse,Columbus  ,141.4,1991,steel,government
The Oxford on 72nd,New York City  ,141.5,1990,,residential
The Marc,New York City  ,141.6,2004,concrete,residential
National Newark Building,Newark  ,141.7,1931,steel,office
5 Greenway Plaza,Houston  ,141.7,1973,,office
The Sterling,Chicago  ,142,2001,concrete,residential / retail
500 Park Tower,New York City  ,142,1984,,residential / office
650 California Street,San Francisco  ,142,1964,steel,office
Allure Las Vegas Tower I,Las Vegas  ,142,2007,concrete,residential
Coast at Lakeshore East,Chicago  ,142.2,2013,concrete,residential
AT&T Tower,Minneapolis  ,142.3,1991,steel,office
VIA 57 WEST,New York City  ,142.3,2016,concrete,residential
Melody at Arsht Center,Miami  ,142.3,2016,concrete,residential / retail
U.S. Bancorp Center,Minneapolis  ,142.5,2000,steel,office
Columbus Plaza,Chicago  ,142.7,1980,concrete,residential
Scripps Center,Cincinnati  ,142.7,1990,steel,office
The Carlyle,Minneapolis  ,142.9,2007,concrete,residential
"Roosevelt University Academic, Student Life Residence Center",Chicago  ,143,2012,steel/concrete,residential / education / office
3630 Peachtree Road,Atlanta  ,143,2010,concrete,residential / office
900 3rd Avenue,New York City  ,143,1983,,office
Trump Taj Mahal - Chairman Tower,Atlantic City  ,143.2,2008,concrete,hotel
1100 Millicento Residences,Miami  ,143.3,2015,concrete,residential
Times Square Doubletree Hotel,New York City  ,143.3,1990,concrete/steel,hotel
Aire,New York City  ,143.3,2010,concrete,residential
Wyndham New Yorker Hotel,New York City  ,143.3,1930,steel,hotel
City Place,Chicago  ,143.3,1990,concrete,office / hotel
Hampshire House,New York City  ,143.3,1931,steel,hotel
Capitol-EMI Building,New York City  ,143.3,1971,,office
"Continuum on South Beach, South Tower",Miami Beach  ,143.5,2002,concrete,residential
Wells Fargo Place,St. Paul  ,143.6,1987,concrete,office
The Link,New York City  ,143.6,2007,concrete,residential
325 5th Avenue,New York City  ,143.6,2006,concrete,residential
Hotel InterContinental,Chicago  ,143.6,1929,steel,hotel
Solow Tower Apartments,New York City  ,143.9,1971,,residential
505 West 37th Street East Tower,New York City  ,143.9,2010,concrete,residential
Park Avenue Place,New York City  ,143.9,2004,concrete,residential
United States Plywood Building,New York City  ,143.9,1961,steel,office
333 Market Building,San Francisco  ,144,1979,steel,office
Marymount University Dormitory,New York City  ,144.2,2001,concrete,residential
Harper & Row Building,New York City  ,144.2,1972,,office
12 Metrotech Center,New York City  ,144.2,2005,steel,office / government
International Plaza,New York City  ,144.2,1988,,office
One South Broad,Philadelphia  ,144.4,1932,steel,office
Plaza 440,Chicago  ,144.5,1991,concrete,residential / hotel
American Furniture Mart,Chicago  ,144.5,1926,concrete/steel,office
Plaza VII,Minneapolis  ,144.6,1987,steel,hotel / office
Millennium Place Tower 1,Boston  ,144.8,2001,,residential / hotel
135W52,New York City  ,144.8,2015,concrete,residential
Electra,San Diego  ,144.8,2008,steel/concrete,residential
The Murano,Philadelphia  ,144.8,2008,concrete,residential
Hilton Times Square,New York City  ,144.8,2000,,hotel
Book Tower,Detroit  ,144.8,1926,steel,office
The Signature at MGM Grand Tower I,Las Vegas  ,144.8,2006,concrete,residential
The Signature at MGM Grand Tower II,Las Vegas  ,144.8,2006,concrete,residential
The Signature at MGM Grand Tower III,Las Vegas  ,144.8,2007,concrete,residential
Metropolitan Tower,Chicago  ,144.8,1924,steel,office
Cook County Administration Building,Chicago  ,144.8,1964,concrete,office
Venetian Resort-Hotel-Casino,Las Vegas  ,144.8,1999,concrete,hotel / casino
Koppers Building,Pittsburgh  ,144.8,1929,steel,office
Riverbank West Apartments,New York City  ,145,1987,,office
45 Fremont Center,San Francisco  ,145,1979,steel,office
Prism Tower,New York City  ,145,2015,concrete,residential
100 Pine Center,San Francisco  ,145.1,1972,steel,office
One State Street Plaza,New York City  ,139.9,1969,,office
Ivanpah Solar Electric Generating System Tower 1,Primm (),139.9,2013,steel,industrial
Ivanpah Solar Electric Generating System Tower 2,Primm (),139.9,2013,steel,industrial
Ivanpah Solar Electric Generating System Tower 3,Primm (),139.9,2013,steel,industrial
Centennial Tower,Atlanta  ,140,1976,,office
Ruan Center,Des Moines  ,140.1,1975,steel,office
Leighton House Residence Tower,New York City  ,140.2,1990,,residential
One Miami East Tower,Miami  ,140.2,2005,concrete,residential
Symphony House Apartments,New York City  ,140.2,1986,,residential
747 3rd Avenue,New York City  ,140.2,1972,,office
100 North Main Street,Winston-Salem  ,140.2,1995,steel,office
Element,Tampa  ,140.2,2009,concrete,residential
Louisiana State Capitol,Baton Rouge  ,140.2,1932,steel,office
Chicago Marriott,Chicago  ,140.2,1978,,hotel
The Tower,Burbank  ,140.2,1988,concrete,office
JW Essex House,New York City  ,140.5,1931,steel,residential / hotel
Trump Towers I,Sunny Isles Beach  ,140.5,2008,concrete,residential
Trump Towers II,Sunny Isles Beach  ,140.5,2008,concrete,residential
Trump Towers III,Sunny Isles Beach  ,140.5,2008,concrete,residential
480 Washington Boulevard,Jersey City  ,140.5,2004,steel,office
The New York,Chicago  ,140.5,1986,concrete,residential
Presidential Towers I,Chicago  ,140.6,1985,concrete,residential
Presidential Towers II,Chicago  ,140.6,1985,concrete,residential
Presidential Towers III,Chicago  ,140.6,1985,concrete,residential
Presidential Towers IV,Chicago  ,140.6,1985,concrete,residential
Smith Tower,Seattle  ,140.8,1914,steel,office
Montague-Court Building,New York City  ,140.8,1927,steel,office
121 West Trade,Charlotte  ,140.8,1990,,office
Monarch Condominiums,New York City  ,140.8,1986,,residential
Arco Tower,Los Angeles  ,140.8,1989,,office
Victory Apartments,New York City  ,140.9,2002,concrete,residential
Randolph Tower,Chicago  ,141,1929,steel,office
The Atlas,New York City  ,141.1,2002,,residential
22 Cortlandt Street,New York City  ,141.1,1971,,office
Tribune Tower,Chicago  ,141.1,1925,steel,office
200 North Dearborn Apartments,Chicago  ,141.1,1989,concrete,residential
"Dillon, Read & Company Building",New York City  ,141.4,1982,,office
Franklin County Courthouse,Columbus  ,141.4,1991,steel,government
The Oxford on 72nd,New York City  ,141.5,1990,,residential
The Marc,New York City  ,141.6,2004,concrete,residential
National Newark Building,Newark  ,141.7,1931,steel,office
5 Greenway Plaza,Houston  ,141.7,1973,,office
The Sterling,Chicago  ,142,2001,concrete,residential / retail
